,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,BioPlanet_2019,Oncostatin M,25 of 311,5.076164484627875e-16,3.659914593416698e-13,0,0,10.036507610037022,353.453736745178,CXCL8;CEBPD;EPAS1;HIF1A;ICAM1;SOCS3;MT2A;SOCS1;KIF5B;NAMPT;CASP4;ITGAV;TIMP1;B2M;JUNB;LDLR;IER3;TGM2;IL13RA1;SERPINB1;STAT3;SOD2;IRF1;LCN2;ATF3
1,BioPlanet_2019,BDNF signaling pathway,18 of 261,9.881383477252532e-11,2.9145587057862762e-08,0,0,8.186649926762922,188.6022685450587,TMOD1;BTG2;BTG1;GCH1;IGFBP4;ARPC1B;SLC39A14;SLC7A5;ZFP36;PPP2R1B;SPP1;CALR;TIMP1;KCNK1;JUNB;CLIC1;ATF3;S100A11
2,BioPlanet_2019,Prolactin activation of MAPK signaling,11 of 75,1.6218421580134012e-10,2.9145587057862762e-08,0,0,18.44013247282609,415.6827823482107,SOCS2;NFKBIA;SOCS3;PTPN1;STAT5B;SOCS1;IRF1;STAT3;MAPK14;YWHAZ;JAK1
3,BioPlanet_2019,Interferon-gamma signaling pathway,12 of 97,1.816319932030734e-10,2.9145587057862762e-08,0,0,15.21311475409836,341.21553639151256,SOCS3;PTPN1;MT2A;SOCS1;IFNGR2;IRF1;STAT3;IFI30;B2M;ICAM1;HLA-E;JAK1
4,BioPlanet_2019,Interleukin-2 signaling pathway,31 of 847,2.0211918902817448e-10,2.9145587057862762e-08,0,0,4.398755081300813,98.18973033169485,BTG1;CXCL8;SMARCD3;CTSS;ICAM1;SOCS2;SOCS3;SLC9A3R1;MT2A;GNG10;ZFP36;SOCS1;NAMPT;FLOT1;APBB2;LDLR;S100A11;IER3;JAK1;STAT5B;WARS;ACTN1;STAT3;MAPK14;ATP1B1;SLC7A5;BCL6;IRF1;TAX1BP3;TOP1;BIRC3
5,BioPlanet_2019,Interleukin-5 regulation of apoptosis,13 of 144,1.6598285695854372e-09,1.994560664451834e-07,0,0,10.727371864776446,216.8704658845321,CXCL8;INHBA;MAPK14;SOD2;HIF1A;IL17RB;ICAM1;NFKB2;SOCS1;CASP4;IER3;NFE2L2;BIRC3
6,BioPlanet_2019,Interleukin-1 regulation of extracellular matrix,12 of 120,2.2103163486432604e-09,2.2766258391025587e-07,0,0,11.959319975713418,238.35080406967975,NFKBIA;MT2A;ZFP36;CXCL8;NAMPT;ID1;SPP1;INHBA;ACPP;SOD2;ICAM1;BIRC3
7,BioPlanet_2019,"Immune system signaling by interferons, interleukins, prolactin, and growth hormones",16 of 280,1.673570731004806e-08,1.5083056213180814e-06,0,0,6.616218046385645,118.46815598748786,STAT5B;PTPN1;IFNGR2;STAT3;IFI30;YWHAZ;HLA-E;ICAM1;NFKB2;SOCS2;SOCS3;MT2A;SOCS1;IRF1;B2M;JAK1
8,BioPlanet_2019,Interleukin-6 signaling pathway,9 of 71,2.9259394686319937e-08,2.3440026187596305e-06,0,0,15.408168574401666,267.2865037784577,SOCS3;CEBPD;IRF1;STAT3;TIMP1;MAPK14;JUNB;JAK1;HSP90B1
9,BioPlanet_2019,Immune system,30 of 998,3.7830409471490266e-08,2.727572522894448e-06,0,0,3.538129226145755,60.467168302673606,IFI30;CTSS;ICAM1;HSP90B1;SOCS2;SOCS3;MT2A;SOCS1;PPP2R1B;KIF5B;CASP4;ITGAV;B2M;JAK1;STAT5B;PTPN1;IFNGR2;STAT3;MAPK14;YWHAZ;HLA-E;NFKB2;TAPBP;NFKBIA;IRF1;PSME1;PSME2;CALR;CFB;BIRC3
